graph_file,num_nodes,num_edges
5353.graph,20,22
7866.graph,7,6
3779146.graph,21,21
9546807.graph,45,44
72193656.graph,45,49
101600091.graph,25,26
146014746.graph,99,104
97867.graph,11,11
5460887.graph,23,22
125.graph,9,9
54632786.graph,36,39
54618166.graph,33,34
54638309.graph,31,33
54618925.graph,37,40
132282419.graph,70,73
54625780.graph,37,40
1291441.graph,28,30
91849364.graph,146,156
54649211.graph,32,33
9796181.graph,20,22
14112811.graph,12,12
72551470.graph,70,72
21530.graph,23,26
2886035.graph,21,23
54666646.graph,31,34
54654249.graph,42,46
4571789.graph,23,25
5013637.graph,29,32
70679139.graph,55,55
52927962.graph,61,61
16388.graph,14,13
49859560.graph,68,69
102210.graph,23,26
21627672.graph,22,23
68079.graph,18,20
6994841.graph,11,10
19161.graph,24,25
5282193.graph,76,78
54632357.graph,34,37
135926548.graph,27,28
135563724.graph,35,38
91861223.graph,89,96
54646429.graph,37,41
54661356.graph,30,33
56835582.graph,39,42
240768.graph,26,30
44492779.graph,38,41
60189718.graph,41,46
44487409.graph,37,40
54618123.graph,37,40
657722.graph,16,17
8289.graph,23,25
44505136.graph,35,37
36573.graph,10,10
11765141.graph,48,47
21895630.graph,17,16
49866464.graph,24,26
72551435.graph,32,35
53382697.graph,40,43
44502426.graph,29,30
7060.graph,11,12
16220016.graph,239,243
44505975.graph,37,40
4462449.graph,19,20
335122.graph,22,24
54618960.graph,34,36
923.graph,1,0
54649254.graph,32,33
91859637.graph,62,66
137333923.graph,68,72
21158932.graph,28,31
5282995.graph,18,17
54696066.graph,11,10
53481587.graph,12,13
5320686.graph,43,47
54666603.graph,34,37
54676315.graph,12,12
54649685.graph,30,32
520300.graph,9,9
5460450.graph,11,11
11966142.graph,70,72
439898.graph,18,19
183528.graph,27,31
54632312.graph,32,33
5318606.graph,34,37
86289908.graph,65,71
1398618.graph,27,28
135445969.graph,20,22
60191126.graph,30,33
91861266.graph,123,132
91846519.graph,47,49
54661313.graph,36,40
91853669.graph,27,28
27076755.graph,23,23
2517907.graph,27,29
6398630.graph,7,6
52927164.graph,53,52
52931127.graph,48,47
71317118.graph,19,18
3292.graph,15,16
5284483.graph,24,22
119389.graph,10,9
135885218.graph,50,53
135857564.graph,16,17
6923516.graph,15,16
44620550.graph,42,45
44617739.graph,41,43
54640139.graph,34,37
474760.graph,35,37
54672536.graph,50,55
91857809.graph,46,48
44489274.graph,35,37
54675865.graph,14,15
192838.graph,12,11
54631021.graph,35,38
910657.graph,16,17
54631862.graph,34,36
146170888.graph,52,51
6864753.graph,21,23
54633357.graph,32,34
16127569.graph,32,36
60185213.graph,41,46
91862916.graph,61,65
60190163.graph,34,38
1482373.graph,16,17
444019.graph,13,12
476416.graph,25,27
54647429.graph,36,40
101925.graph,17,17
22297.graph,10,9
46173950.graph,45,48
1903751.graph,25,27
5283193.graph,23,22
54660787.graph,25,28
54619166.graph,36,39
2772277.graph,14,15
91809505.graph,60,60
54633786.graph,33,35
91826583.graph,93,100
656767.graph,23,25
44504173.graph,36,38
10249.graph,12,13
27020.graph,29,33
17163601.graph,17,18
134819283.graph,20,19
23253564.graph,21,25
1549305.graph,12,11
53480113.graph,63,63
6025.graph,20,22
44504930.graph,34,36
5281634.graph,21,23
5291322.graph,27,30
5294544.graph,18,20
91666446.graph,25,24
5459807.graph,21,20
54634296.graph,33,34
54619925.graph,34,37
54639309.graph,30,32
878806.graph,17,19
91848364.graph,234,251
45266502.graph,34,33
71298169.graph,23,24
44496919.graph,42,45
53262842.graph,51,51
60192250.graph,30,33
54657939.graph,32,35
60190965.graph,32,36
521300.graph,6,5
5362391.graph,26,27
104745.graph,5,4
24150655.graph,37,40
135398008.graph,29,32
91897113.graph,28,31
123879.graph,29,32
2823304.graph,21,22
9548639.graph,27,27
46173915.graph,51,54
54633312.graph,37,39
54631827.graph,35,37
